Algorithm,Width,Height,Threads,Seed,FillPercent,Run,TimeMs
OMP_Rows,500,500,4,42,0.40,6,46.084000
OMP_Rows,500,500,4,42,0.40,7,46.035000
OMP_Rows,500,500,4,42,0.40,8,47.563000
OMP_Rows,500,500,4,42,0.40,9,47.399000
OMP_Rows,500,500,4,42,0.40,10,47.587000
OMP_Rows,500,500,4,42,0.40,11,47.854000
OMP_Rows,500,500,4,42,0.40,12,45.758000
OMP_Rows,500,500,4,42,0.40,13,46.403000
OMP_Rows,500,500,4,42,0.40,14,47.847000
OMP_Rows,500,500,4,42,0.40,15,46.924000
OMP_Rows,500,500,4,42,0.40,16,46.114000
OMP_Rows,500,500,4,42,0.40,17,46.646000
OMP_Rows,500,500,4,42,0.40,18,49.449000
OMP_Rows,500,500,4,42,0.40,19,47.594000
OMP_Rows,500,500,4,42,0.40,20,46.742000
OMP_Rows,500,500,4,42,0.40,21,45.984000
OMP_Rows,500,500,4,42,0.40,22,45.786000
OMP_Rows,500,500,4,42,0.40,23,45.806000
OMP_Rows,500,500,4,42,0.40,24,45.926000
OMP_Rows,500,500,4,42,0.40,AVG,46.567667
OMP_Rows,500,500,5,42,0.40,0,48.531000
OMP_Rows,500,500,5,42,0.40,1,50.042000
OMP_Rows,500,500,5,42,0.40,2,51.108000
OMP_Rows,500,500,5,42,0.40,3,49.339000
OMP_Rows,500,500,5,42,0.40,4,50.024000
OMP_Rows,500,500,5,42,0.40,5,49.894000
OMP_Rows,500,500,5,42,0.40,6,49.724000
OMP_Rows,500,500,5,42,0.40,7,50.271000
OMP_Rows,500,500,5,42,0.40,8,52.411000
OMP_Rows,500,500,5,42,0.40,9,50.103000
OMP_Rows,500,500,5,42,0.40,10,50.262000
OMP_Rows,500,500,5,42,0.40,11,50.165000
OMP_Rows,500,500,5,42,0.40,12,50.921000
OMP_Rows,500,500,5,42,0.40,13,49.440000
OMP_Rows,500,500,5,42,0.40,14,49.675000
OMP_Rows,500,500,5,42,0.40,15,49.722000
OMP_Rows,500,500,5,42,0.40,16,49.169000
OMP_Rows,500,500,5,42,0.40,17,49.659000
OMP_Rows,500,500,5,42,0.40,18,49.671000
OMP_Rows,500,500,5,42,0.40,19,49.468000
OMP_Rows,500,500,5,42,0.40,20,49.664000
OMP_Rows,500,500,5,42,0.40,21,49.151000
OMP_Rows,500,500,5,42,0.40,22,49.558000
OMP_Rows,500,500,5,42,0.40,23,49.008000
OMP_Rows,500,500,5,42,0.40,24,50.588000
OMP_Rows,500,500,5,42,0.40,AVG,49.700450
OMP_Rows,500,500,6,42,0.40,0,53.697000
OMP_Rows,500,500,6,42,0.40,1,54.587000
OMP_Rows,500,500,6,42,0.40,2,54.880000
OMP_Rows,500,500,6,42,0.40,3,55.169000
OMP_Rows,500,500,6,42,0.40,4,55.346000
OMP_Rows,500,500,6,42,0.40,5,55.880000
OMP_Rows,500,500,6,42,0.40,6,54.762000
OMP_Rows,500,500,6,42,0.40,7,54.119000
OMP_Rows,500,500,6,42,0.40,8,55.724000
OMP_Rows,500,500,6,42,0.40,9,53.958000
OMP_Rows,500,500,6,42,0.40,10,54.346000
OMP_Rows,500,500,6,42,0.40,11,54.232000
OMP_Rows,500,500,6,42,0.40,12,54.396000
OMP_Rows,500,500,6,42,0.40,13,53.841000
OMP_Rows,500,500,6,42,0.40,14,53.846000
OMP_Rows,500,500,6,42,0.40,15,54.184000
OMP_Rows,500,500,6,42,0.40,16,54.464000
OMP_Rows,500,500,6,42,0.40,17,53.812000
OMP_Rows,500,500,6,42,0.40,18,53.468000
OMP_Rows,500,500,6,42,0.40,19,54.223000
OMP_Rows,500,500,6,42,0.40,20,53.517000
OMP_Rows,500,500,6,42,0.40,21,54.166000
OMP_Rows,500,500,6,42,0.40,22,53.491000
OMP_Rows,500,500,6,42,0.40,23,54.135000
